360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
359.9942,360,360,360,360,360,360,360,360,360,360,360,360,359.9942,360,360,360,360,360,360,360,360,360,360,360,360,359.9942,360,360,360,360,360,360,360,360,360,360,360,360,359.9942,360,360,360,360,360,360,360,360,360,360,360,360,359.9942,360,360,360,360,360,360,360,360,360,360,360,360
359.9615,360,360,360,360,360,360,360,360,360,360,360,360,359.9615,360,360,360,360,360,360,360,360,360,360,360,360,359.9615,360,360,360,360,360,360,360,360,360,360,360,360,359.9615,360,360,360,360,360,360,360,360,360,360,360,360,359.9615,360,360,360,360,360,360,360,360,360,360,360,360
359.8887,360,360,360,360,360,360,360,360,360,360,360,360,359.8887,360,360,360,360,360,360,360,360,360,360,360,360,359.8887,360,360,360,360,360,360,360,360,360,360,360,360,359.8887,360,360,360,360,360,360,360,360,360,360,360,360,359.8887,360,360,360,360,360,360,360,360,360,360,360,360
359.7615,360,360,360,360,360,360,360,360,360,360,360,360,359.7615,360,360,360,360,360,360,360,360,360,360,360,360,359.7615,360,360,360,360,360,360,360,360,360,360,360,360,359.7615,360,360,360,360,360,360,360,360,360,360,360,360,359.7615,360,360,360,360,360,360,360,360,360,360,360,360
