26.19597,56.78975,204.995,28.34005,258.6722,336.6651,53.49132,223.3344,359.0226,175.1455,275.267,227.5766,304.2527,26.19597,56.78975,204.995,28.34005,258.6722,336.6651,53.49132,223.3344,359.0226,175.1455,275.267,227.5766,304.2527
27.18402,58.17118,203.1263,27.33275,256.9719,335.728,54.83965,225.1622,358.8165,177.0307,273.6619,229.3926,302.8815,27.18402,58.17118,203.1263,27.33275,256.9719,335.728,54.83965,225.1622,358.8165,177.0307,273.6619,229.3926,302.8815
28.1888,59.56595,201.255,26.34219,255.2632,334.7738,56.20166,226.985,358.5908,178.9163,272.0465,231.2031,301.4969,28.1888,59.56595,201.255,26.34219,255.2632,334.7738,56.20166,226.985,358.5908,178.9163,272.0465,231.2031,301.4969
29.21029,60.97397,199.3814,25.36852,253.5461,333.8026,57.57731,228.8027,358.3455,180.8019,270.421,233.0081,300.0989,29.21029,60.97397,199.3814,25.36852,253.5461,333.8026,57.57731,228.8027,358.3455,180.8019,270.421,233.0081,300.0989
30.24832,62.39503,197.5056,24.4118,251.8211,332.8145,58.9664,230.6151,358.0806,182.6875,268.7856,234.8072,298.6878,30.24832,62.39503,197.5056,24.4118,251.8211,332.8145,58.9664,230.6151,358.0806,182.6875,268.7856,234.8072,298.6878
31.30274,63.82898,195.628,23.47217,250.0881,331.8097,60.36872,232.4218,357.7963,184.5728,267.1404,236.6003,297.2637,31.30274,63.82898,195.628,23.47217,250.0881,331.8097,60.36872,232.4218,357.7963,184.5728,267.1404,236.6003,297.2637
32.37354,65.27572,193.7486,22.54971,248.3475,330.7882,61.78421,234.2229,357.4923,186.4575,265.4857,238.3872,295.8267,32.37354,65.27572,193.7486,22.54971,248.3475,330.7882,61.78421,234.2229,357.4923,186.4575,265.4857,238.3872,295.8267
33.46047,66.73502,191.8677,21.64453,246.5993,329.7502,63.21267,236.018,357.1689,188.3416,263.8216,240.1676,294.3769,33.46047,66.73502,191.8677,21.64453,246.5993,329.7502,63.21267,236.018,357.1689,188.3416,263.8216,240.1676,294.3769
34.56353,68.20675,189.9856,20.75674,244.8438,328.6957,64.65395,237.8069,356.8261,190.2247,262.1483,241.9415,292.9146,34.56353,68.20675,189.9856,20.75674,244.8438,328.6957,64.65395,237.8069,356.8261,190.2247,262.1483,241.9415,292.9146
35.68258,69.69077,188.1023,19.88641,243.0812,327.6249,66.10783,239.5895,356.4638,192.1068,260.4659,243.7086,291.4399,35.68258,69.69077,188.1023,19.88641,243.0812,327.6249,66.10783,239.5895,356.4638,192.1068,260.4659,243.7086,291.4399
36.81739,71.18688,186.2181,19.03364,241.3117,326.5379,67.57429,241.3655,356.0822,193.9875,258.7748,245.4686,289.953,36.81739,71.18688,186.2181,19.03364,241.3117,326.5379,67.57429,241.3655,356.0822,193.9875,258.7748,245.4686,289.953
37.96798,72.69492,184.3333,18.19856,239.5354,325.4348,69.05308,243.1348,355.6813,195.8667,257.075,247.2215,288.454,37.96798,72.69492,184.3333,18.19856,239.5354,325.4348,69.05308,243.1348,355.6813,195.8667,257.075,247.2215,288.454
