720,720,720,720,720,720,720,720,720,720,720,720,720
719.9937,719.989,719.9973,719.989,719.9001,719.989,719.9937,719.9001,719.989,719.6003,719.9556,719.975,719.9556
719.975,719.9556,719.989,719.9556,719.6003,719.9556,719.975,719.6003,719.9556,718.4023,719.8223,719.9001,719.8223
719.9438,719.9001,719.975,719.9001,719.101,719.9001,719.9438,719.101,719.9001,716.4085,719.6003,719.7752,719.6003
719.9001,719.8223,719.9556,719.8223,718.4023,719.8223,719.9001,718.4023,719.8223,713.6234,719.2896,719.6003,719.2896
719.8439,719.7224,719.9306,719.7224,717.5046,719.7224,719.8439,717.5046,719.7224,710.0532,718.8902,719.3756,718.8902
719.7752,719.6003,719.9001,719.6003,716.4085,719.6003,719.7752,716.4085,719.6003,705.7057,718.4023,719.101,718.4023
719.694,719.4561,719.864,719.4561,715.1145,719.4561,719.694,715.1145,719.4561,700.5907,717.8259,718.7766,717.8259
719.6003,719.2896,719.8223,719.2896,713.6234,719.2896,719.6003,713.6234,719.2896,694.7195,717.1613,718.4023,717.1613
719.4942,719.101,719.7752,719.101,711.936,719.101,719.4942,711.936,719.101,688.1052,716.4085,717.9783,716.4085
719.3756,718.8902,719.7224,718.8902,710.0532,718.8902,719.3756,710.0532,718.8902,680.7623,715.5678,717.5046,715.5678
719.2445,718.6573,719.6642,718.6573,707.9761,718.6573,719.2445,707.9761,718.6573,672.7073,714.6393,716.9813,714.6393
719.101,718.4023,719.6003,718.4023,705.7057,718.4023,719.101,705.7057,718.4023,663.9581,713.6234,716.4085,713.6234
718.945,718.1252,719.531,718.1252,703.2435,718.1252,718.945,703.2435,718.1252,654.5339,712.5202,715.7863,712.5202
718.7766,717.8259,719.4561,717.8259,700.5907,717.8259,718.7766,700.5907,717.8259,644.4557,711.33,715.1145,711.33
718.5956,717.5046,719.3756,717.5046,697.7489,717.5046,718.5956,697.7489,717.5046,633.7462,710.0532,714.3936,710.0532
718.4023,717.1613,719.2896,717.1613,694.7195,717.1613,718.4023,694.7195,717.1613,622.4287,708.6899,713.6234,708.6899
718.1965,716.796,719.1981,716.796,691.5044,716.796,718.1965,691.5044,716.796,610.5286,707.2407,712.8042,707.2407
717.9783,716.4085,719.101,716.4085,688.1052,716.4085,717.9783,688.1052,716.4085,598.0723,705.7057,711.936,705.7057
717.7477,715.9991,718.9984,715.9991,684.5239,715.9991,717.7477,684.5239,715.9991,585.0874,704.0855,711.0189,704.0855
717.5046,715.5678,718.8902,715.5678,680.7623,715.5678,717.5046,680.7623,715.5678,571.6027,702.3803,710.0532,702.3803
717.2492,715.1145,718.7766,715.1145,676.8228,715.1145,717.2492,676.8228,715.1145,557.6482,700.5907,709.0388,700.5907
716.9813,714.6393,718.6573,714.6393,672.7073,714.6393,716.9813,672.7073,714.6393,543.2549,698.7171,707.9761,698.7171
716.7011,714.1423,718.5326,714.1423,668.4183,714.1423,716.7011,668.4183,714.1423,528.4547,696.7598,706.8649,696.7598
716.4085,713.6234,718.4023,713.6234,663.9581,713.6234,716.4085,663.9581,713.6234,513.2805,694.7195,705.7057,694.7195
716.1035,713.0827,718.2665,713.0827,659.329,713.0827,716.1035,659.329,713.0827,497.766,692.5966,704.4985,692.5966
715.7863,712.5202,718.1252,712.5202,654.5339,712.5202,715.7863,654.5339,712.5202,481.9457,690.3917,703.2435,690.3917
715.4565,711.936,717.9783,711.936,649.5753,711.936,715.4565,649.5753,711.936,465.8545,688.1052,701.9409,688.1052
715.1145,711.33,717.8259,711.33,644.4557,711.33,715.1145,644.4557,711.33,449.5284,685.7378,700.5907,685.7378
714.7602,710.7024,717.6681,710.7024,639.1785,710.7024,714.7602,639.1785,710.7024,433.0034,683.29,699.1934,683.29
714.3936,710.0532,717.5046,710.0532,633.7462,710.0532,714.3936,633.7462,710.0532,416.3164,680.7623,697.7489,680.7623
714.0146,709.3823,717.3358,709.3823,628.1619,709.3823,714.0146,628.1619,709.3823,399.5043,678.1556,696.2575,678.1556
713.6234,708.6899,717.1613,708.6899,622.4287,708.6899,713.6234,622.4287,708.6899,382.6046,675.4704,694.7195,675.4704
713.2199,707.9761,716.9813,707.9761,616.5499,707.9761,713.2199,616.5499,707.9761,365.6546,672.7073,693.1351,672.7073
712.8042,707.2407,716.796,707.2407,610.5286,707.2407,712.8042,610.5286,707.2407,348.6921,669.8671,691.5044,669.8671
712.3762,706.4839,716.605,706.4839,604.3683,706.4839,712.3762,604.3683,706.4839,331.7548,666.9504,689.8277,666.9504
711.936,705.7057,716.4085,705.7057,598.0723,705.7057,711.936,598.0723,705.7057,314.88,663.9581,688.1052,663.9581
711.4835,704.9063,716.2066,704.9063,591.644,704.9063,711.4835,591.644,704.9063,298.1055,660.8906,686.3372,660.8906
711.0189,704.0855,715.9991,704.0855,585.0874,704.0855,711.0189,585.0874,704.0855,281.4684,657.749,684.5239,657.749
710.5421,703.2435,715.7863,703.2435,578.4056,703.2435,710.5421,578.4056,703.2435,265.0056,654.5339,682.6655,654.5339
710.0532,702.3803,715.5678,702.3803,571.6027,702.3803,710.0532,571.6027,702.3803,248.7538,651.2461,680.7623,651.2461
709.5521,701.496,715.3439,701.496,564.6823,701.496,709.5521,564.6823,701.496,232.749,647.8864,678.8146,647.8864
709.0388,700.5907,715.1145,700.5907,557.6482,700.5907,709.0388,557.6482,700.5907,217.0267,644.4557,676.8228,644.4557
708.5134,699.6644,714.8797,699.6644,550.5045,699.6644,708.5134,550.5045,699.6644,201.6219,640.9549,674.7869,640.9549
